Lat,-180,-178,-176,-174,-172,-170,-168,-166,-164,-162,-160,-158,-156,-154,-152,-150,-148,-146,-144,-142,-140,-138,-136,-134,-132,-130,-128,-126,-124,-122,-120,-118,-116,-114,-112,-110,-108,-106,-104,-102,-100,-98,-96,-94,-92,-90,-88,-86,-84,-82,-80,-78,-76,-74,-72,-70,-68,-66,-64,-62,-60,-58,-56,-54,-52,-50,-48,-46,-44,-42,-40,-38,-36,-34,-32,-30,-28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,10,10,10,20,30,30,20,20,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,20,30,20,20,20,10,10,10,10,0,0,0,0,0,0,0,0,10,30,40,40,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,70,110,70,40,80,210,130,130,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,380,360,510,300,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,40,40,30,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,10,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,230,330,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,90,170,290,90,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,40,80,90,60,70,70,20,0,0,0,0,0,0,0,0,0,0,0,0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,500,560,340,170,70,0,0,0,0,0,0,0,0,0,0,40,70,90,100,110,110,120,180,210,220,220,210,160,170,0,0,0,0,0,0,0,0,0,0,90,360,1180,1060,910,290,70,110,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0,0,380,880,0,0,0,0,0,0,0,0,0,10,3010,10,0,0,0,0,0,0,0,0,0,0,0,0,20,30,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,360,770,250,0,0,0,0,0,330,750,180,220,150,160,60,140,220,810,1380,1390,350,190,230,250,250,250,240,200,180,470,610,640,580,450,400,520,740,660,370,0,0,0,10,140,1110,1220,470,140,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,630,60,0,0,0,0,0,0,0,40,100,4750,130,100,40,10,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,0,0,0,0,0,0,90,2900,80,0,0,0,0,0,0,0,0,0,0,10,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110,3350,18350,7690,4930,9860,4900,0,0,0,0,0,0,0,0,0,60,370,610,140,110,0,0,0,450,1370,1380,560,1380,1340,1430,590,320,490,1030,2310,2860,2070,280,280,280,280,280,280,280,270,230,250,410,160,160,430,950,980,950,820,470,1790,1870,1870,1950,2190,940,570,560,550,400,650,860,910,670,20,0,0,0,0,100,0,0,0,330,0
68,880,170,0,0,0,0,10,160,360,420,410,370,300,290,240,70,60,100,100,70,50,20,690,4030,0,0,0,80,180,0,0,0,0,0,0,0,0,1430,0,0,0,0,930,680,0,520,0,0,0,1890,0,0,0,0,0,0,0,0,0,0,0,0,30,4630,6330,0,0,0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11070,44650,69820,91090,21820,17290,9920,8010,33480,41930,442370,37700,30010,530,0,20,270,30,300,220,360,230,360,470,850,1130,15400,740,1280,1540,760,2100,2520,1660,1330,1200,2420,3030,279380,2840,1460,290,240,230,230,240,240,210,180,170,170,170,170,220,650,790,780,850,820,780,1090,2290,2400,2670,2480,1170,1020,970,990,1010,1310,1430,1590,1760,1420,1510,1450,2610,3790,4460,4850,2150,1940,1520,0
66,2410,2850,1830,1370,810,30,50,500,790,1260,1440,1230,870,220,220,230,250,250,250,160,340,70,870,150,0,610,30,40,0,0,0,0,1270,0,0,20,50,0,0,0,0,0,0,0,0,0,470,150,0,0,0,0,0,0,0,0,0,1420,480,0,0,0,0,5620,280,30,0,0,0,0,0,10,0,0,0,0,0,0,3660,150,2890,2700,510,0,0,0,0,0,0,0,0,0,0,0,0,120,27950,85410,11830,12130,35310,50840,82640,29320,31050,77620,155380,25720,5240,5340,2190,1450,1540,640,1500,3150,5300,27020,53290,14680,21540,98060,82810,51180,1700,1750,1600,3660,79910,3740,1750,1700,7650,15220,2760,1260,260,230,240,240,240,240,240,1400,1590,1680,1190,190,200,2840,1310,530,570,790,950,520,1460,2470,2450,2210,1030,910,1010,1000,1670,1610,1320,1290,1280,1870,1970,1970,1970,1980,2500,2930,1470,1400,1890,2380,0
64,490,860,2720,2880,490,10,890,4700,1350,1510,970,810,260,240,470,6130,73630,6310,780,500,1340,80,80,70,10,0,760,420,580,0,0,250,130,0,0,0,0,0,0,0,0,970,570,0,0,0,0,0,740,0,0,2470,0,0,0,0,0,0,0,0,0,0,0,3790,14160,40,0,0,0,0,0,2920,0,0,0,0,0,320,23190,160890,25440,2650,8370,2470,0,0,0,0,0,0,0,0,0,0,90,45020,49080,22120,16380,51740,182770,58650,312220,81930,46520,40140,19780,28280,5190,197010,371300,18190,12430,8670,9080,12130,43710,22570,74600,18690,21760,6570,3770,2860,2410,3920,41770,5330,7400,6670,1320,1270,1620,1960,1460,640,260,260,260,260,260,260,360,3530,4820,4990,2930,3450,5540,8420,5790,3370,2420,2460,2930,2660,2650,2570,2550,2800,3780,3100,1710,1580,4340,3350,2160,2280,2750,1600,1580,1610,1420,1110,1240,1250,1220,1200,12550,1430,0
62,0,0,0,0,280,180,0,1120,2100,1510,360,340,300,420,1980,1720,1340,2010,1160,750,90,810,420,1320,80,20,0,0,170,0,0,410,19020,0,300,0,0,0,0,0,0,0,0,2630,370,0,0,0,0,0,0,280,960,0,0,5100,0,0,0,0,0,0,0,0,110,1020,0,0,0,0,0,0,0,0,0,0,0,0,19660,23270,2200,810,0,0,0,0,37720,0,0,0,0,0,30710,184270,85320,283580,35440,95920,212000,83030,168020,307990,288020,277870,193260,64790,33380,92130,29320,54340,50180,32840,24400,20390,34780,38230,123160,51360,29450,10490,9020,13270,91820,34210,7060,10790,14970,162030,62090,7230,4470,3160,1940,2130,2120,1890,1180,900,740,700,720,630,370,1150,2800,4910,35420,7970,8900,9000,8750,7300,4460,3870,118180,20240,12530,4450,2760,3180,4830,5550,8160,12540,17850,17430,3130,3480,3560,1390,1230,800,670,730,980,1620,2050,2280,1890,1410,0
60,0,0,0,50,0,0,400,2380,3430,8880,1260,1050,750,210,37520,318430,3620,1960,1770,1090,370,660,21670,750,110,1310,50,30,580,1370,0,1730,2980,2270,700,0,0,0,0,0,0,0,1720,10,0,0,0,0,0,0,420,1200,0,50,710,390,0,0,0,0,0,0,0,0,0,1260,3490,4810,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8490,0,80,20430,0,0,392990,94230,94060,615020,87170,237710,379330,52150,208530,872920,1728140,333500,673810,528010,91080,273030,60430,73250,95380,82950,63720,223510,66250,267610,38410,34700,31550,83230,48160,48600,85710,19350,51190,21530,472200,63570,340850,56720,7830,8060,7820,6820,5370,4570,5890,4070,1440,1700,1130,1100,1160,1520,1970,8430,9650,10200,8740,4830,4260,3950,8680,12190,88290,26290,13900,6760,3790,2960,2430,2540,2650,6190,8130,18000,11250,3640,910,130,680,1530,1660,1870,2010,2270,920,120,0,0,0
58,0,0,0,0,0,0,130,70,220,1860,3300,2090,500,430,13110,270,240,0,0,240,740,1100,31360,2860,290,400,240,290,5200,310,4890,6850,4540,1070,10360,100,910,1450,1000,620,330,20,1080,0,0,0,0,0,0,0,1220,0,0,0,0,2150,140,540,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18810,8120,47190,1820,0,0,363010,187020,369670,1346890,588450,716320,1579040,982490,1120,98460,778880,398110,1340030,2773950,304390,197130,469020,494600,249000,127740,153320,118180,719250,304260,287900,286490,1015910,341750,404130,64940,75460,29780,141980,20810,19140,20590,9950,9800,13860,61270,21210,22290,10750,9550,114270,26060,22610,26200,23780,120030,3880,4270,9110,13090,10340,4330,4340,4140,3720,6230,8610,7720,7890,7640,2630,1950,1700,2200,2090,920,770,1220,1120,115660,2180,600,0,870,3360,1910,280,30,0,10,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,160,430,320,520,13120,0,0,0,0,0,0,0,200,9310,6490,2040,640,1470,3140,3650,20600,11550,19010,3190,10910,17630,3390,130,130,1060,1620,2110,1950,1480,410,20,190,200,0,0,0,690,320,0,0,0,0,0,0,100,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19500,236070,1478120,35800,0,0,0,640,921110,1024840,1318180,644160,161610,56550,290490,645450,1325650,445890,483140,339740,242530,837360,1062180,1898160,2100050,2310040,674440,1220790,468220,405330,1260920,653970,691960,681620,2729250,578840,817480,223520,175960,95370,70370,113220,43580,21430,29960,93480,787530,233420,100000,268300,875270,224280,92490,62530,312880,61690,97120,17090,18820,13550,20430,29070,6650,7560,7180,16410,22400,19220,17170,11970,650,650,630,290,20,0,0,0,0,0,0,110,2780,5080,11230,4870,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,20,420,760,1040,150,0,0,0,0,0,0,0,0,0,0,0,0,6040,32920,29460,25040,15480,27250,28560,65170,21620,41220,38270,44390,15070,5300,8860,4650,12480,3220,20090,3750,1680,550,680,820,710,340,0,50,1330,90,80,90,0,1290,80,130,740,950,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2230,145460,1185550,2723830,2092860,2920700,0,0,0,1850,1765790,1702850,3015300,239900,640660,1596430,1464690,1488720,1685140,971780,1095510,1240070,434900,459720,15595680,3131760,641090,967290,996600,890570,2445480,751930,1703520,927040,1307650,763480,2277350,296450,724200,217170,468080,232140,1525770,266770,151140,207800,146990,2045930,405780,1296950,179850,150570,344660,133400,48800,112000,121740,63030,17940,19740,41760,27020,10730,6210,8690,4530,9900,19450,66730,10400,10650,7160,1550,740,270,1040,130,990,0,0,0,0,0,930,5290,13510,10780,90,130,860,10,0,0,0,0,0,0
52,0,0,890,370,0,1290,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850,1730,7100,4060,7340,100810,22490,14030,29890,112910,1120610,79300,65070,263170,97070,22250,22360,2690,4610,7600,3070,1810,2530,1400,710,1950,1650,5030,150,170,180,160,0,13740,250,310,9540,400,1910,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13690,834580,2244700,204840,9374760,12255090,2000980,0,6522300,4430460,6864900,4822390,5500140,2232840,2760450,3188130,4140540,2038580,1355880,2691840,1055160,1548200,862240,1200850,1148800,1837920,1165730,615950,1149020,735750,1197220,1344680,502030,628050,539810,801340,288560,616680,161360,193820,366540,226160,108050,117590,571370,293510,286560,1043470,634480,1192510,205160,545100,62370,35370,9800,14650,75750,653840,762630,46590,59670,35970,373730,54440,79230,45710,76780,132830,114780,83330,14890,10330,9290,6130,5700,13380,48760,41930,0,0,0,0,0,30,12870,265630,20,0,0,0,0,0,130,0,10,0,0
50,30,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,14700,29480,20630,122960,151990,25580,720660,406450,81830,27530,46490,271850,77790,57770,40650,94150,5820,8470,6090,1940,3230,1080,900,3900,1870,690,1220,2540,100,30,34580,2270,3970,2610,2050,15930,6150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7710,357550,11660,1185680,5043180,13417990,5912940,6563480,13472890,16391020,7560480,4573620,5844090,5040290,4086700,7668420,3978470,2901770,1837120,1594780,1275880,4528180,1328110,1370660,2659000,2057750,744400,664090,1193730,948430,238980,370990,176400,819580,520380,641590,81310,58760,67400,162050,136130,424660,370270,200340,56610,102600,743210,417160,120180,112150,38820,76130,58270,123790,22880,38150,36070,83600,114270,596170,128320,60380,77750,145080,177050,149160,212000,174340,228680,448180,305730,39780,20650,38420,360150,35340,12550,55540,0,0,0,0,0,1990,4880,160,0,0,0,0,0,0,0,0,20,70,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300,205860,3218750,118910,259530,157370,138430,155790,30940,33700,19230,32300,67320,105500,145040,808790,51940,40900,9050,131420,16350,13150,22350,70690,88810,42350,13140,60110,228970,130200,83600,62940,220,10,32820,47670,81670,29900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2170,529650,944920,2107350,3420810,12474720,1854910,6082360,10971570,7204760,3318910,2847280,6118990,4946090,3761850,3346950,3683670,2372440,1698740,1889840,2297380,3109140,3845090,3943480,744510,343210,1712690,126710,51520,57830,56600,55630,94080,53910,22250,19540,25090,21640,28500,53500,919040,56740,36980,33800,106670,364590,160700,163520,89580,53990,41940,43060,37920,43200,50920,48270,147890,438830,35940,31740,24930,23390,236290,254700,529480,654530,1844580,1178750,676910,220160,205640,621120,33210,41690,38330,91870,2580,0,0,0,100,710,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24520,3576230,448920,381610,708910,133210,126510,125160,27330,12940,35160,47270,131230,66620,355490,249100,340190,99050,84500,81080,137410,36980,185110,130780,26000,92790,481530,1082170,152860,152930,316870,123570,80150,18920,10520,34770,249750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109020,967200,2954930,2183940,1389960,1977260,5647230,5365530,2630130,2275610,4018490,3064810,5141620,2947870,2584270,2099470,3913710,3614700,2359250,2303420,2138710,1978270,2939620,1380000,487480,167770,323130,344700,184130,86710,50300,18730,33140,51190,42600,19680,203490,14750,24060,25320,115860,31240,42590,138990,331700,254340,157050,128330,76720,38500,20940,30070,34900,50730,61140,44490,546200,40300,28790,24710,23870,32630,69610,721790,2885190,4870750,5334570,2011810,3555530,1185700,144270,43210,8000,23720,290840,0,0,10,1010,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28730,2770280,214410,110710,86410,16060,44780,90030,173630,58680,45990,135600,43270,87490,156660,554360,3425790,496410,1008540,348240,424280,107330,230050,933570,602650,1800270,4550290,517220,478230,226220,321920,505210,96090,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772620,1771610,1331660,4907870,3471940,10574080,7596420,3415900,1220880,2168000,2802300,3194700,2507520,3783850,4993200,1789750,14080,973060,1304680,845510,2276710,2200770,1620320,393400,142210,25120,13740,16340,20560,22260,6620,30470,56670,209090,74640,35990,38310,33420,90240,183910,415340,1197690,394350,985560,1164890,343860,186330,60380,23740,16420,25850,39280,48560,20970,22620,19150,20310,32590,98560,182870,654950,1075680,2829380,6570250,9736910,2897700,2799490,695500,114940,8520,0,84610,183530,31020,7290,2900,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79390,419270,91350,9250,481620,149270,236160,143870,43550,72310,41200,67090,27550,78640,549680,355210,662650,714560,3398170,2859800,2536880,6198430,1903010,7380330,2218190,998560,2355520,6053720,62230,12940,24680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985130,973700,1500250,2711690,1837690,1920870,2087310,3080120,1732280,200200,3336680,4034180,763890,1426970,2092060,4939150,3407940,2857150,2186090,184130,0,1050,5110,0,229440,887470,2245760,2392950,1718400,133130,175360,70230,16870,42190,1066490,338810,61690,38200,140290,1102120,818060,502890,1637480,1836290,368210,738640,790690,376740,2438980,494220,185210,154020,120940,20360,20060,11680,10840,10990,31340,67660,158980,262680,380540,825630,2471910,3216890,7226960,9003570,3964730,2425030,1327440,604980,20620,0,17540,3317660,1192480,433420,1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
